기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리,
20240102,출발시간,0,ST-1042,상일동_025_1,ST-1850,고덕2동_014_1,1,10,1642,
20240102,출발시간,0,ST-1061,천호1동_039_1,ST-1050,고덕1동_028_1,1,7,1399,
20240102,출발시간,0,ST-1086,오륜동_001_1,ST-1681,잠실6동_031_3,1,9,1484,
20240102,출발시간,5,ST-1201,동선동_031_1,ST-1455,안암동_026_1,1,7,900,
20240102,출발시간,0,ST-1095,면목4동_032_1,ST-262,장안2동_053_1,1,7,1040,
20240102,출발시간,0,ST-1098,면목본동_003_1,ST-2270,휘경2동_009_1,1,32,3458,
20240102,출발시간,0,ST-1111,공릉1동_067_1,ST-579,석관동_029_1,1,9,1668,
20240102,출발시간,0,ST-1124,상계2동_039_1,ST-3063,상계6·7동_073_2,1,7,1520,
20240102,출발시간,0,ST-118,사직동_004_1,ST-178,창신3동_003_1,1,23,4709,
20240102,출발시간,0,ST-1186,수서동_028_1,ST-2972,문정2동_029_3,1,13,2012,
20240102,출발시간,0,ST-12,신촌동_014_1,ST-2979,연남동_034_1,1,119,1220,
20240102,출발시간,0,ST-1237,구로4동_015_1,ST-703,신사동_023_1,1,21,2910,
20240102,출발시간,0,ST-1251,가양1동_037_1,ST-2491,가양1동_002_4,1,6,930,
20240102,출발시간,0,ST-1270,신림동_030_1,ST-733,신대방2동_027_3,1,7,1420,
20240102,출발시간,0,ST-1271,광장동_029_1,ST-384,능동_002_5,1,4,740,
20240102,출발시간,0,ST-1292,창4동_001_3,ST-1118,중계2·3동_080_1,1,19,3050,
20240102,출발시간,0,ST-132,종로1·2·3·4가동_008_1,ST-144,종로1·2·3·4가동_008_2,1,4,530,
20240102,출발시간,0,ST-1353,영등포본동_044_1,ST-2823,신길6동_007_1,1,18,2430,
20240102,출발시간,0,ST-1383,정릉4동_032_1,ST-1384,정릉2동_024_1,1,3,910,
20240102,출발시간,0,ST-1386,정릉1동_016_1,ST-1423,수유1동_027_1,1,23,3035,
20240102,출발시간,0,ST-1439,광희동_006_1,ST-197,다산동_016_1,1,7,790,
20240102,출발시간,0,ST-1466,쌍문4동_013_1,ST-1723,월곡1동_019_1,1,35,6910,
20240102,출발시간,0,ST-1546,조원동_004_1,ST-2826,신대방1동_014_1,1,6,604,
20240102,출발시간,0,ST-1584,잠실6동_025_1,ST-547,잠실2동_013_1,1,8,1290,
20240102,출발시간,0,ST-160,종로5·6가동_001_1,ST-1456,성북동_032_1,1,9,2077,
20240102,출발시간,0,ST-3040,대림3동_024_1,ST-279,양평2동_006_1,1,75,4620,
20240102,출발시간,0,ST-1609,숭인2동_005_1,ST-1818,혜화동_037_1,1,14,2730,
20240102,출발시간,0,ST-162,신당동_004_1,ST-1812,창신1동_008_1,1,2,330,
20240102,출발시간,0,ST-1652,대림2동_008_1,ST-1652,대림2동_008_1,1,19,1443,
20240102,출발시간,0,ST-1661,자양4동_005_1,ST-2310,화양동_038_1,1,4,667,
20240102,출발시간,0,ST-1665,송천동_040_1,ST-2235,정릉1동_020_1,1,13,1970,
20240102,출발시간,0,ST-1689,가양1동_039_3,ST-2965,공항동_034_2,1,4,850,
20240102,출발시간,0,ST-1691,대흥동_021_1,ST-15,서강동_025_1,1,11,1535,
20240102,출발시간,0,ST-1691,대흥동_021_1,ST-3019,서강동_030_1,1,12,2020,
20240102,출발시간,0,ST-1722,구의2동_042_1,ST-2309,구의1동_026_1,1,4,787,
20240102,출발시간,0,ST-1731,목1동_003_1,ST-1504,신정7동_007_1,1,13,2386,
20240102,출발시간,0,ST-1731,목1동_003_1,ST-2011,신정6동_019_1,1,12,2201,
20240102,출발시간,0,ST-1758,전농2동_002_1,ST-390,전농2동_004_1,1,4,1071,
20240102,출발시간,0,ST-1793,가락1동_001_2,ST-1872,가락2동_002_1,1,10,1710,
20240102,출발시간,0,ST-788,논현1동_004_1,ST-1152,사당3동_024_1,1,48,7440,
20240102,출발시간,0,ST-1812,창신1동_008_1,ST-1819,혜화동_023_1,1,17,2230,
20240102,출발시간,0,ST-1844,고덕1동_018_1,ST-1846,명일1동_010_2,1,15,2188,
20240102,출발시간,0,ST-1938,가산동_003_4,ST-3219,가산동_012_1,1,4,732,
20240102,출발시간,0,ST-1964,신도림동_028_1,ST-2817,대림1동_026_1,1,31,5370,
20240102,출발시간,0,ST-1972,당산2동_003_2,ST-1990,영등포본동_015_3,1,18,3330,
20240102,출발시간,0,ST-1990,영등포본동_015_3,ST-1700,영등포본동_031_1,1,4,913,
20240102,출발시간,0,ST-2016,목1동_044_1,ST-2958,양평1동_006_1,1,7,1164,
20240102,출발시간,0,ST-2045,가양1동_039_16,ST-2037,가양1동_043_1,1,6,1737,
20240102,출발시간,0,ST-2115,도봉2동_008_1,ST-2089,방학1동_011_1,1,16,2950,
20240102,출발시간,0,ST-2120,창5동_001_3,ST-643,수유3동_017_1,1,13,2270,
20240102,출발시간,0,ST-2125,번1동_030_1,ST-860,번2동_008_1,1,9,990,
20240102,출발시간,0,ST-2165,상암동_025_3,ST-2977,상암동_031_3,1,8,1284,
20240102,출발시간,0,ST-2168,서교동_001_1,ST-1691,대흥동_021_1,1,17,2330,
20240102,출발시간,0,ST-23,신수동_004_1,ST-201,아현동_049_1,1,8,1679,
20240102,출발시간,0,ST-2357,상도2동_001_1,ST-700,노량진1동_025_1,1,4,701,
20240102,출발시간,0,ST-2403,송천동_046_1,ST-2276,제기동_046_1,1,28,4626,
20240102,출발시간,0,ST-2407,구의3동_008_2,ST-3209,천호2동_048_1,1,20,3179,
20240102,출발시간,0,ST-2464,구로5동_002_2,ST-2464,구로5동_002_2,1,1,10,
20240102,출발시간,0,ST-2464,구로5동_002_2,ST-2996,신사동_020_1,1,31,4880,
