"기준_날짜","집계_기준","기준_시간","시작_대여소","시작_대여소명","종료_대여소","종료_대여소명","전체건수","전체_이용_분","전체_이용_거리"
"20240702","출발시간","0000","ST-871","오류2동_011_2","ST-1946","항동_015_2","1","15","1860"
"20240702","출발시간","0000","ST-724","서원동_036_1","ST-702","신림동_006_1","1","35","4892"
"20240702","출발시간","0000","ST-2943","가양1동_020_2","ST-2490","가양1동_001_2","1","4","634"
"20240702","출발시간","0000","ST-2533","성산2동_002_1","ST-2167","서교동_008_1","1","22","2517"
"20240702","출발시간","0000","ST-637","독산1동_033_1","ST-3236","가산동_019_3","1","9","1044"
"20240702","출발시간","0000","ST-2636","망우본동_031_1","ST-1098","면목본동_011_1","1","46","1960"
"20240702","출발시간","0000","ST-1982","신길3동_033_1","ST-1991","신길7동_028_1","1","5","1053"
"20240702","출발시간","0000","ST-1781","신당동_005_2","ST-1813","창신1동_008_1","2","148","3216"
"20240702","출발시간","0000","ST-3155","제기동_037_1","ST-391","전농1동_001_1","1","29","2555"
"20240702","출발시간","0000","ST-2994","등촌1동_016_1","ST-2029","우장산동_029_1","1","28","2237"
"20240702","출발시간","0000","ST-2866","원효로2동_025_4","ST-436","한강로동_015_2","1","9","1640"
"20240702","출발시간","0000","ST-1286","중계2,3동_015_1","ST-2719","중계본동_026_1","1","10","1552"
"20240702","출발시간","0000","ST-1005","신정1동_007_1","ST-1005","신정1동_007_1","1","35","2966"
"20240702","출발시간","0000","ST-2468","사근동_022_3","ST-237","행당1동_007_1","1","6","945"
"20240702","출발시간","0000","ST-547","잠실2동_058_1","ST-2594","잠실4동_003_1","1","17","2909"
"20240702","출발시간","0000","ST-1607","종로1,2,3,4가동_002_3","ST-143","종로1,2,3,4가동_002_2","1","2","470"
"20240702","출발시간","0000","ST-663","신도림동_008_1","ST-1964","신도림동_030_1","1","4","810"
"20240702","출발시간","0000","ST-2849","쌍문4동_007_1","ST-2849","쌍문4동_007_1","1","41","2505"
"20240702","출발시간","0000","ST-2811","양평2동_033_1","ST-3238","영등포동_056_1","1","20","2700"
"20240702","출발시간","0000","ST-1440","황학동_015_1","ST-1440","황학동_015_1","2","52","7340"
"20240702","출발시간","0000","ST-1663","자양1동_017_1","ST-1663","자양1동_017_1","1","44","3024"
"20240702","출발시간","0000","ST-2731","장위1동_044_1","ST-2793","장위2동_005_1","1","26","1163"
"20240702","출발시간","0000","ST-1387","우이동_026_1","ST-2116","쌍문4동_033_1","1","9","2020"
"20240702","출발시간","0000","ST-946","청파동_019_1","ST-437","청파동_009_1","1","5","344"
"20240702","출발시간","0000","ST-2487","등촌1동_033_1","ST-516","등촌1동_012_1","1","3","546"
"20240702","출발시간","0000","ST-2419","발산1동_058_1","ST-1511","등촌3동_003_1","1","13","960"
"20240702","출발시간","0000","ST-2979","연남동_029_2","ST-4","서교동_020_1","1","9","1445"
"20240702","출발시간","0000","ST-1710","발산1동_049_1","ST-2411","공항동_037_1","1","51","2668"
"20240702","출발시간","0000","ST-1275","구로5동_040_1","ST-1223","구로5동_001_1","1","13","1267"
"20240702","출발시간","0000","ST-1701","당산2동_057_1","ST-293","영등포동_019_1","1","",""
"20240702","출발시간","0000","ST-1782","광희동_007_1","ST-3090","종로1,2,3,4가동_003_8","1","29","5070"
"20240702","출발시간","0000","ST-614","방학1동_019_2","ST-1137","창5동_002_1","1","11","1884"
"20240702","출발시간","0000","ST-2240","이촌2동_012_1","ST-699","노량진2동_020_1","1","12","1901"
"20240702","출발시간","0000","ST-1329","진관동_028_1","ST-1029","녹번동_029_1","1","70","6463"
"20240702","출발시간","0000","ST-1280","월계1동_015_1","ST-3101","월계2동_043_1","1","5","1157"
"20240702","출발시간","0000","ST-342","성산1동_022_1","ST-7","서교동_037_1","1","37","1792"
"20240702","출발시간","0000","ST-3243","청담동_038_1","ST-808","대치4동_014_1","1","26","3280"
"20240702","출발시간","0000","ST-1910","반포3동_015_3","ST-1908","반포3동_015_1","1","6","972"
"20240702","출발시간","0000","ST-1440","황학동_015_1","ST-2501","답십리2동_018_1","1","25","3974"
"20240702","출발시간","0000","ST-1640","상계9동_027_1","ST-2954","상계9동_024_1","1","5","750"
"20240702","출발시간","0000","ST-931","성북동_018_1","ST-842","삼선동_001_1","1","5","787"
"20240702","출발시간","0000","ST-1503","목1동_003_3","ST-2492","가양1동_003_2","1","47","8837"
"20240702","출발시간","0000","ST-1221","구로5동_039_2","ST-1223","구로5동_001_1","1","6","1479"
"20240702","출발시간","0000","ST-2342","용답동_019_1","ST-2342","용답동_019_1","1","101","12685"
