"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20250226","출발시간","1405","ST-3331","문래동_022_1","ST-3212","당산1동_009_1","1","4","385"
"20250226","출발시간","1810","ST-1730","송파1동_038_1","ST-2988","위례동_014_2","1","27","7480"
"20250226","출발시간","1910","ST-2896","공릉1동_040_2","ST-1474","공릉1동_031_1","1","4","701"
"20250226","출발시간","2130","ST-437","청파동_009_1","ST-1376","남영동_003_3","1","",""
"20250226","출발시간","1715","ST-1910","반포3동_015_3","ST-1926","반포1동_036_1","1","18","2385"
"20250226","출발시간","1230","ST-1722","구의2동_048_1","ST-388","광장동_013_2","1","8","1576"
"20250226","출발시간","1105","ST-604","공릉2동_044_3","ST-2075","월계3동_003_1","1","31","3511"
"20250226","출발시간","1445","ST-204","용강동_039_1","ST-2154","용강동_040_1","1","12","726"
"20250226","출발시간","0945","ST-3251","가양1동_012_16","ST-2035","가양1동_016_5","1","4","695"
"20250226","출발시간","0705","ST-2414","잠원동_013_1","ST-1909","반포3동_015_2","1","16","1672"
"20250226","출발시간","2305","ST-111","성수1가2동_019_1","ST-3003","성수2가3동_004_2","1","11","972"
"20250226","출발시간","1055","ST-1378","구의1동_008_1","ST-1378","구의1동_008_1","1","40","2550"
"20250226","출발시간","1935","ST-504","고덕1동_073_2","ST-2745","고덕1동_054_1","1","6","838"
"20250226","출발시간","1505","ST-2959","대림1동_013_1","ST-1974","도림동_002_2","1","7","1517"
"20250226","출발시간","1805","ST-2402","우이동_017_1","ST-2133","우이동_019_2","1","42","1662"
"20250226","출발시간","1555","ST-3280","상계1동_053_1","ST-3177","창4동_038_2","1","32","2670"
"20250226","출발시간","0245","ST-2056","발산1동_035_2","ST-2945","발산1동_007_5","1","3","730"
"20250226","출발시간","1715","ST-1885","삼성1동_021_1","ST-3077","대치2동_010_1","1","8","820"
"20250226","출발시간","0930","ST-1993","신정3동_095_1","ST-316","신정3동_062_4","1","4","1040"
"20250226","출발시간","1315","ST-743","내곡동_031_1","ST-742","내곡동_006_3","1","5","930"
"20250226","출발시간","1850","ST-2330","성수1가2동_019_2","ST-3121","성수2가3동_008_1","1","3","584"
"20250226","출발시간","1750","ST-2470","불광1동_018_2","ST-1032","불광1동_030_1","1","6","792"
"20250226","출발시간","1325","ST-426","당산2동_052_1","ST-67","여의동_037_2","2","67","9340"
"20250226","출발시간","0840","ST-2401","번3동_007_1","ST-1348","월계1동_008_1","1","12","1790"
"20250226","출발시간","2215","ST-503","성내1동_004_1","ST-1720","오륜동_001_4","1","16","1575"
