시작_대여소_ID,시작_대여소명,시간_시,전체_건수,기온,강수량,풍속,습도
ST-10,서교동_044_1,0,1,13.3,0.0,1.1,49.0
ST-10,서교동_044_1,1,5,13.0,0.0,0.9,52.0
ST-10,서교동_044_1,2,8,12.6,0.0,1.7,53.0
ST-10,서교동_044_1,5,2,11.5,0.0,0.7,57.0
ST-10,서교동_044_1,7,2,11.1,0.0,1.9,60.0
ST-10,서교동_044_1,8,1,14.0,0.0,1.6,52.0
ST-10,서교동_044_1,9,2,16.7,0.0,2.0,42.0
ST-10,서교동_044_1,10,2,18.8,0.0,1.5,36.0
ST-10,서교동_044_1,11,8,21.2,0.0,1.7,28.0
ST-10,서교동_044_1,12,12,21.9,0.0,2.6,29.0
ST-10,서교동_044_1,13,6,23.0,0.0,2.9,27.0
ST-10,서교동_044_1,14,7,23.3,0.0,2.9,26.0
ST-10,서교동_044_1,15,8,24.2,0.0,3.2,25.0
ST-10,서교동_044_1,16,10,22.9,0.0,4.1,28.0
ST-10,서교동_044_1,17,4,21.9,0.0,4.2,28.0
ST-10,서교동_044_1,18,10,20.7,0.0,4.1,27.0
ST-10,서교동_044_1,19,12,18.3,0.0,4.0,32.0
ST-10,서교동_044_1,20,7,17.2,0.0,4.6,31.0
ST-10,서교동_044_1,21,10,16.8,0.0,3.4,32.0
ST-10,서교동_044_1,22,3,16.4,0.0,2.9,35.0
ST-1000,신정7동_001_1,1,1,13.0,0.0,0.9,52.0
ST-1000,신정7동_001_1,2,1,12.6,0.0,1.7,53.0
ST-1000,신정7동_001_1,5,1,11.5,0.0,0.7,57.0
ST-1000,신정7동_001_1,6,6,11.1,0.0,0.9,57.0
ST-1000,신정7동_001_1,7,23,11.1,0.0,1.9,60.0
ST-1000,신정7동_001_1,8,20,14.0,0.0,1.6,52.0
ST-1000,신정7동_001_1,9,6,16.7,0.0,2.0,42.0
ST-1000,신정7동_001_1,10,6,18.8,0.0,1.5,36.0
ST-1000,신정7동_001_1,11,6,21.2,0.0,1.7,28.0
ST-1000,신정7동_001_1,12,6,21.9,0.0,2.6,29.0
ST-1000,신정7동_001_1,13,9,23.0,0.0,2.9,27.0
ST-1000,신정7동_001_1,14,4,23.3,0.0,2.9,26.0
ST-1000,신정7동_001_1,15,1,24.2,0.0,3.2,25.0
ST-1000,신정7동_001_1,16,7,22.9,0.0,4.1,28.0
ST-1000,신정7동_001_1,17,9,21.9,0.0,4.2,28.0
ST-1000,신정7동_001_1,18,6,20.7,0.0,4.1,27.0
ST-1000,신정7동_001_1,19,7,18.3,0.0,4.0,32.0
ST-1000,신정7동_001_1,20,3,17.2,0.0,4.6,31.0
ST-1000,신정7동_001_1,21,3,16.8,0.0,3.4,32.0
ST-1000,신정7동_001_1,22,7,16.4,0.0,2.9,35.0
ST-1002,목1동_006_1,0,6,13.3,0.0,1.1,49.0
ST-1002,목1동_006_1,5,3,11.5,0.0,0.7,57.0
ST-1002,목1동_006_1,6,3,11.1,0.0,0.9,57.0
ST-1002,목1동_006_1,7,15,11.1,0.0,1.9,60.0
ST-1002,목1동_006_1,8,12,14.0,0.0,1.6,52.0
ST-1002,목1동_006_1,9,11,16.7,0.0,2.0,42.0
ST-1002,목1동_006_1,10,9,18.8,0.0,1.5,36.0
ST-1002,목1동_006_1,11,4,21.2,0.0,1.7,28.0
ST-1002,목1동_006_1,12,12,21.9,0.0,2.6,29.0
ST-1002,목1동_006_1,13,10,23.0,0.0,2.9,27.0
ST-1002,목1동_006_1,14,17,23.3,0.0,2.9,26.0
ST-1002,목1동_006_1,15,12,24.2,0.0,3.2,25.0
ST-1002,목1동_006_1,16,13,22.9,0.0,4.1,28.0
ST-1002,목1동_006_1,17,13,21.9,0.0,4.2,28.0
ST-1002,목1동_006_1,18,43,20.7,0.0,4.1,27.0
ST-1002,목1동_006_1,19,28,18.3,0.0,4.0,32.0
ST-1002,목1동_006_1,20,15,17.2,0.0,4.6,31.0
ST-1002,목1동_006_1,21,6,16.8,0.0,3.4,32.0
ST-1002,목1동_006_1,22,10,16.4,0.0,2.9,35.0
ST-1002,목1동_006_1,23,2,16.1,0.0,3.6,36.0
ST-1004,신정3동_066_1,5,2,11.5,0.0,0.7,57.0
ST-1004,신정3동_066_1,6,1,11.1,0.0,0.9,57.0
ST-1004,신정3동_066_1,7,19,11.1,0.0,1.9,60.0
ST-1004,신정3동_066_1,8,9,14.0,0.0,1.6,52.0
ST-1004,신정3동_066_1,9,7,16.7,0.0,2.0,42.0
ST-1004,신정3동_066_1,10,2,18.8,0.0,1.5,36.0
ST-1004,신정3동_066_1,11,6,21.2,0.0,1.7,28.0
ST-1004,신정3동_066_1,12,2,21.9,0.0,2.6,29.0
ST-1004,신정3동_066_1,13,2,23.0,0.0,2.9,27.0
ST-1004,신정3동_066_1,15,3,24.2,0.0,3.2,25.0
ST-1004,신정3동_066_1,16,6,22.9,0.0,4.1,28.0
ST-1004,신정3동_066_1,17,3,21.9,0.0,4.2,28.0
ST-1004,신정3동_066_1,20,2,17.2,0.0,4.6,31.0
ST-1004,신정3동_066_1,22,2,16.4,0.0,2.9,35.0
ST-1005,신정1동_007_1,1,2,13.0,0.0,0.9,52.0
ST-1005,신정1동_007_1,2,6,12.6,0.0,1.7,53.0
ST-1005,신정1동_007_1,6,4,11.1,0.0,0.9,57.0
ST-1005,신정1동_007_1,7,30,11.1,0.0,1.9,60.0
ST-1005,신정1동_007_1,8,43,14.0,0.0,1.6,52.0
ST-1005,신정1동_007_1,9,16,16.7,0.0,2.0,42.0
ST-1005,신정1동_007_1,10,16,18.8,0.0,1.5,36.0
ST-1005,신정1동_007_1,11,17,21.2,0.0,1.7,28.0
ST-1005,신정1동_007_1,12,9,21.9,0.0,2.6,29.0
ST-1005,신정1동_007_1,13,16,23.0,0.0,2.9,27.0
ST-1005,신정1동_007_1,14,13,23.3,0.0,2.9,26.0
ST-1005,신정1동_007_1,15,9,24.2,0.0,3.2,25.0
ST-1005,신정1동_007_1,16,13,22.9,0.0,4.1,28.0
ST-1005,신정1동_007_1,17,17,21.9,0.0,4.2,28.0
ST-1005,신정1동_007_1,18,21,20.7,0.0,4.1,27.0
ST-1005,신정1동_007_1,19,14,18.3,0.0,4.0,32.0
ST-1005,신정1동_007_1,20,21,17.2,0.0,4.6,31.0
ST-1005,신정1동_007_1,21,9,16.8,0.0,3.4,32.0
ST-1005,신정1동_007_1,22,7,16.4,0.0,2.9,35.0
ST-1005,신정1동_007_1,23,3,16.1,0.0,3.6,36.0
ST-1006,목5동_005_1,5,2,11.5,0.0,0.7,57.0
ST-1006,목5동_005_1,6,4,11.1,0.0,0.9,57.0
ST-1006,목5동_005_1,7,35,11.1,0.0,1.9,60.0
ST-1006,목5동_005_1,8,37,14.0,0.0,1.6,52.0
ST-1006,목5동_005_1,9,14,16.7,0.0,2.0,42.0
ST-1006,목5동_005_1,10,17,18.8,0.0,1.5,36.0
ST-1006,목5동_005_1,11,13,21.2,0.0,1.7,28.0
ST-1006,목5동_005_1,12,8,21.9,0.0,2.6,29.0
ST-1006,목5동_005_1,13,16,23.0,0.0,2.9,27.0
ST-1006,목5동_005_1,14,6,23.3,0.0,2.9,26.0
ST-1006,목5동_005_1,15,8,24.2,0.0,3.2,25.0
ST-1006,목5동_005_1,16,3,22.9,0.0,4.1,28.0
ST-1006,목5동_005_1,17,14,21.9,0.0,4.2,28.0
ST-1006,목5동_005_1,18,14,20.7,0.0,4.1,27.0
ST-1006,목5동_005_1,19,12,18.3,0.0,4.0,32.0
ST-1006,목5동_005_1,20,5,17.2,0.0,4.6,31.0
ST-1006,목5동_005_1,21,10,16.8,0.0,3.4,32.0
ST-1006,목5동_005_1,22,12,16.4,0.0,2.9,35.0
ST-1006,목5동_005_1,23,8,16.1,0.0,3.6,36.0
