시작_대여소_ID,시작_대여소명,시간_시,전체_건수
ST-10,서교동_044_1,0,1
ST-10,서교동_044_1,1,5
ST-10,서교동_044_1,2,8
ST-10,서교동_044_1,5,2
ST-10,서교동_044_1,7,2
ST-10,서교동_044_1,8,1
ST-10,서교동_044_1,9,2
ST-10,서교동_044_1,10,2
ST-10,서교동_044_1,11,8
ST-10,서교동_044_1,12,12
ST-10,서교동_044_1,13,6
ST-10,서교동_044_1,14,7
ST-10,서교동_044_1,15,8
ST-10,서교동_044_1,16,10
ST-10,서교동_044_1,17,4
ST-10,서교동_044_1,18,10
ST-10,서교동_044_1,19,12
ST-10,서교동_044_1,20,7
ST-10,서교동_044_1,21,10
ST-10,서교동_044_1,22,3
ST-1000,신정7동_001_1,1,1
ST-1000,신정7동_001_1,2,1
ST-1000,신정7동_001_1,5,1
ST-1000,신정7동_001_1,6,6
ST-1000,신정7동_001_1,7,23
ST-1000,신정7동_001_1,8,20
ST-1000,신정7동_001_1,9,6
ST-1000,신정7동_001_1,10,6
ST-1000,신정7동_001_1,11,6
ST-1000,신정7동_001_1,12,6
ST-1000,신정7동_001_1,13,9
ST-1000,신정7동_001_1,14,4
ST-1000,신정7동_001_1,15,1
ST-1000,신정7동_001_1,16,7
ST-1000,신정7동_001_1,17,9
ST-1000,신정7동_001_1,18,6
ST-1000,신정7동_001_1,19,7
ST-1000,신정7동_001_1,20,3
ST-1000,신정7동_001_1,21,3
ST-1000,신정7동_001_1,22,7
ST-1002,목1동_006_1,0,6
ST-1002,목1동_006_1,5,3
ST-1002,목1동_006_1,6,3
ST-1002,목1동_006_1,7,15
ST-1002,목1동_006_1,8,12
ST-1002,목1동_006_1,9,11
ST-1002,목1동_006_1,10,9
ST-1002,목1동_006_1,11,4
ST-1002,목1동_006_1,12,12
ST-1002,목1동_006_1,13,10
ST-1002,목1동_006_1,14,17
ST-1002,목1동_006_1,15,12
ST-1002,목1동_006_1,16,13
ST-1002,목1동_006_1,17,13
ST-1002,목1동_006_1,18,43
ST-1002,목1동_006_1,19,28
ST-1002,목1동_006_1,20,15
ST-1002,목1동_006_1,21,6
ST-1002,목1동_006_1,22,10
ST-1002,목1동_006_1,23,2
ST-1004,신정3동_066_1,5,2
ST-1004,신정3동_066_1,6,1
ST-1004,신정3동_066_1,7,19
ST-1004,신정3동_066_1,8,9
ST-1004,신정3동_066_1,9,7
ST-1004,신정3동_066_1,10,2
ST-1004,신정3동_066_1,11,6
ST-1004,신정3동_066_1,12,2
ST-1004,신정3동_066_1,13,2
ST-1004,신정3동_066_1,15,3
ST-1004,신정3동_066_1,16,6
ST-1004,신정3동_066_1,17,3
ST-1004,신정3동_066_1,20,2
ST-1004,신정3동_066_1,22,2
ST-1005,신정1동_007_1,1,2
ST-1005,신정1동_007_1,2,6
ST-1005,신정1동_007_1,6,4
ST-1005,신정1동_007_1,7,30
ST-1005,신정1동_007_1,8,43
ST-1005,신정1동_007_1,9,16
ST-1005,신정1동_007_1,10,16
ST-1005,신정1동_007_1,11,17
ST-1005,신정1동_007_1,12,9
ST-1005,신정1동_007_1,13,16
ST-1005,신정1동_007_1,14,13
ST-1005,신정1동_007_1,15,9
ST-1005,신정1동_007_1,16,13
ST-1005,신정1동_007_1,17,17
ST-1005,신정1동_007_1,18,21
ST-1005,신정1동_007_1,19,14
ST-1005,신정1동_007_1,20,21
ST-1005,신정1동_007_1,21,9
ST-1005,신정1동_007_1,22,7
ST-1005,신정1동_007_1,23,3
ST-1006,목5동_005_1,5,2
ST-1006,목5동_005_1,6,4
ST-1006,목5동_005_1,7,35
ST-1006,목5동_005_1,8,37
ST-1006,목5동_005_1,9,14
ST-1006,목5동_005_1,10,17
ST-1006,목5동_005_1,11,13
ST-1006,목5동_005_1,12,8
ST-1006,목5동_005_1,13,16
ST-1006,목5동_005_1,14,6
ST-1006,목5동_005_1,15,8
ST-1006,목5동_005_1,16,3
ST-1006,목5동_005_1,17,14
ST-1006,목5동_005_1,18,14
ST-1006,목5동_005_1,19,12
ST-1006,목5동_005_1,20,5
ST-1006,목5동_005_1,21,10
ST-1006,목5동_005_1,22,12
ST-1006,목5동_005_1,23,8
ST-1007,신월7동_013_1,0,1
ST-1007,신월7동_013_1,1,3
ST-1007,신월7동_013_1,4,1
ST-1007,신월7동_013_1,5,3
ST-1007,신월7동_013_1,6,4
ST-1007,신월7동_013_1,7,17
ST-1007,신월7동_013_1,8,16
ST-1007,신월7동_013_1,9,5
ST-1007,신월7동_013_1,10,3
ST-1007,신월7동_013_1,11,1
ST-1007,신월7동_013_1,12,2
ST-1007,신월7동_013_1,13,3
ST-1007,신월7동_013_1,14,4
ST-1007,신월7동_013_1,15,3
ST-1007,신월7동_013_1,17,6
ST-1007,신월7동_013_1,18,2
ST-1007,신월7동_013_1,19,2
ST-1007,신월7동_013_1,20,2
ST-1007,신월7동_013_1,21,5
ST-1007,신월7동_013_1,22,4
ST-1007,신월7동_013_1,23,3
ST-1008,신정3동_013_1,2,2
ST-1008,신정3동_013_1,7,2
ST-1008,신정3동_013_1,8,5
ST-1008,신정3동_013_1,9,3
ST-1008,신정3동_013_1,10,5
ST-1008,신정3동_013_1,11,2
ST-1008,신정3동_013_1,12,3
ST-1008,신정3동_013_1,14,2
ST-1008,신정3동_013_1,17,4
ST-1008,신정3동_013_1,18,4
ST-1008,신정3동_013_1,19,2
ST-1008,신정3동_013_1,20,1
ST-1008,신정3동_013_1,21,1
ST-1008,신정3동_013_1,22,2
ST-1008,신정3동_013_1,23,2
ST-1010,신월3동_007_1,0,4
ST-1010,신월3동_007_1,5,1
ST-1010,신월3동_007_1,6,3
ST-1010,신월3동_007_1,7,4
ST-1010,신월3동_007_1,8,10
ST-1010,신월3동_007_1,9,2
ST-1010,신월3동_007_1,10,2
ST-1010,신월3동_007_1,11,5
ST-1010,신월3동_007_1,12,5
ST-1010,신월3동_007_1,13,5
ST-1010,신월3동_007_1,14,3
ST-1010,신월3동_007_1,15,24
ST-1010,신월3동_007_1,16,2
ST-1010,신월3동_007_1,17,3
ST-1010,신월3동_007_1,18,7
ST-1010,신월3동_007_1,19,2
ST-1010,신월3동_007_1,22,2
ST-1011,신월1동_013_1,0,2
ST-1011,신월1동_013_1,1,1
ST-1011,신월1동_013_1,2,2
ST-1011,신월1동_013_1,3,3
ST-1011,신월1동_013_1,6,2
ST-1011,신월1동_013_1,7,11
ST-1011,신월1동_013_1,8,14
ST-1011,신월1동_013_1,9,3
ST-1011,신월1동_013_1,10,4
ST-1011,신월1동_013_1,11,4
ST-1011,신월1동_013_1,12,3
ST-1011,신월1동_013_1,13,2
ST-1011,신월1동_013_1,14,3
ST-1011,신월1동_013_1,15,4
ST-1011,신월1동_013_1,17,3
ST-1011,신월1동_013_1,18,7
ST-1011,신월1동_013_1,19,3
ST-1011,신월1동_013_1,20,18
ST-1011,신월1동_013_1,21,3
ST-1011,신월1동_013_1,23,2
ST-1012,신월3동_001_1,3,2
ST-1012,신월3동_001_1,4,2
