대여소명,대여소_ID_num,지하철역_수_1km,학교_수_1km,위도,경도,경度
서교동_044_1,0,7.0,8.0,37.552746,126.918617,126.918617
신정7동_001_1,1,1.0,9.0,37.51038,126.866798,126.866798
목1동_006_1,2,2.0,7.0,37.5299,126.876541,126.876541
신정3동_066_1,3,0.0,6.0,37.514099,126.831001,126.831001
신정1동_007_1,4,2.0,12.0,37.51395,126.856056,126.856056
목5동_005_1,5,0.0,8.0,37.536377,126.871513,126.871513
신월7동_013_1,6,0.0,6.0,37.52219,126.8367,126.8367
신정3동_013_1,7,2.0,12.0,37.522312,126.849045,126.849045
신월3동_007_1,8,0.0,11.0,37.536995,126.827286,126.827286
신월1동_013_1,9,1.0,13.0,37.536369,126.831711,126.831711
신월3동_001_1,10,0.0,9.0,37.53952,126.825401,126.825401
목3동_027_1,11,2.0,13.0,37.550732,126.864578,126.864578
신정3동_091_1,12,0.0,14.0,37.5089,126.842682,126.842682
목5동_002_1,13,2.0,5.0,37.543842,126.882545,126.882545
신월4동_001_1,14,0.0,9.0,37.522282,126.839699,126.839699
목5동_008_1,15,1.0,11.0,37.536503,126.877747,126.877747
목5동_051_1,16,0.0,13.0,37.53458,126.875649,126.875649
목1동_003_1,17,2.0,10.0,37.530251,126.879303,126.879303
자양1동_036_1,18,1.0,19.0,37.53701,127.082245,127.082245
진관동_001_1,19,1.0,6.0,37.645851,126.923798,126.923798
진관동_001_2,20,2.0,7.0,37.644684,126.918457,126.918457
응암1동_006_1,21,3.0,6.0,37.6017,126.927422,126.927422
진관동_006_1,22,0.0,6.0,37.637222,126.933304,126.933304
진관동_003_1,23,0.0,7.0,37.644081,126.929283,126.929283
녹번동_029_1,24,4.0,4.0,37.602402,126.92865,126.92865
송정동_004_1,25,2.0,3.0,37.549061,127.057793,127.057793
진관동_105_1,26,0.0,6.0,37.63414,126.932343,126.932343
불광1동_030_1,27,3.0,10.0,37.618439,126.932884,126.932884
불광2동_001_1,28,3.0,15.0,37.622669,126.919991,126.919991
증산동_030_1,29,6.0,8.0,37.577202,126.902351,126.902351
불광2동_020_1,30,4.0,14.0,37.619781,126.920807,126.920807
역촌동_044_1,31,2.0,14.0,37.609802,126.916794,126.916794
불광2동_042_1,32,4.0,12.0,37.62265,126.925247,126.925247
불광2동_031_1,33,2.0,11.0,37.625778,126.928818,126.928818
상일2동_007_1,34,1.0,9.0,37.549984,127.174706,127.174706
성내1동_012_1,35,2.0,9.0,37.529297,127.123154,127.123154
상일1동_002_1,36,0.0,8.0,37.546841,127.172516,127.172516
둔촌2동_003_1,38,2.0,7.0,37.535961,127.14782,127.14782
성내2동_039_1,39,4.0,8.0,37.533108,127.122772,127.122772
성내2동_010_1,40,4.0,7.0,37.536556,127.125534,127.125534
성내1동_016_1,41,1.0,12.0,37.527031,127.122063,127.122063
암사3동_004_1,42,2.0,5.0,37.556042,127.130936,127.130936
암사3동_006_1,43,2.0,8.0,37.556728,127.136261,127.136261
성수2가3동_006_2,44,2.0,7.0,37.54517,127.057571,127.057571
고덕1동_004_1,45,1.0,9.0,37.561878,127.150787,127.150787
명일2동_009_1,46,2.0,15.0,37.551991,127.153313,127.153313
고덕1동_080_1,47,1.0,13.0,37.562565,127.177612,127.177612
고덕1동_073_1,48,0.0,11.0,37.568638,127.174805,127.174805
고덕2동_005_1,49,2.0,11.0,37.561298,127.167847,127.167847
고덕1동_005_1,50,1.0,11.0,37.559162,127.15332,127.15332
고덕1동_093_1,51,0.0,11.0,37.568546,127.17701,127.17701
천호1동_023_1,52,3.0,13.0,37.545406,127.142677,127.142677
공항동_004_1,53,8.0,7.0,37.561531,126.810699,126.810699
가양1동_016_1,54,3.0,6.0,37.560207,126.824142,126.824142
발산1동_056_1,55,4.0,14.0,37.558311,126.826523,126.826523
가양1동_016_2,56,1.0,13.0,37.558949,126.837173,126.837173
가양2동_001_1,57,1.0,9.0,37.56926,126.848419,126.848419
화곡6동_027_1,58,0.0,10.0,37.550659,126.84977,126.84977
성수1가1동_008_1,59,2.0,8.0,37.541222,127.0438,127.0438
송파1동_014_1,60,4.0,10.0,37.505932,127.10775,127.10775
가락2동_002_1,61,5.0,13.0,37.501652,127.128181,127.128181
문정1동_017_1,62,4.0,10.0,37.491131,127.125809,127.125809
가락1동_048_1,63,5.0,5.0,37.4921,127.117752,127.117752
가락2동_018_1,64,5.0,12.0,37.493198,127.128998,127.128998
오금동_007_1,65,5.0,10.0,37.508984,127.126595,127.126595
방이1동_021_1,66,4.0,17.0,37.506302,127.121399,127.121399
성수1가1동_029_1,67,2.0,8.0,37.544582,127.044609,127.044609
송파1동_030_1,68,4.0,10.0,37.505802,127.109718,127.109718
장지동_007_1,69,1.0,11.0,37.480541,127.137016,127.137016
풍납1동_003_1,70,4.0,6.0,37.538582,127.122803,127.122803
문정1동_003_1,71,4.0,10.0,37.485989,127.124763,127.124763
문정2동_017_1,72,2.0,5.0,37.478809,127.120003,127.120003
오륜동_001_1,73,6.0,8.0,37.51424,127.12307,127.12307
오륜동_001_2,74,4.0,6.0,37.517288,127.114197,127.114197
잠실2동_018_1,75,3.0,11.0,37.511944,127.091217,127.091217
오금동_038_1,76,3.0,11.0,37.499985,127.135391,127.135391
성수1가2동_001_1,77,4.0,9.0,37.548561,127.045006,127.045006
풍납2동_001_1,78,3.0,9.0,37.532848,127.121048,127.121048
중화2동_027_1,79,6.0,8.0,37.598591,127.079819,127.079819
면목4동_020_1,80,2.0,9.0,37.574028,127.080544,127.080544
면목5동_030_1,81,2.0,9.0,37.579941,127.079399,127.079399
면목2동_013_1,82,6.0,5.0,37.591301,127.08033,127.08033
면목본동_011_1,83,5.0,8.0,37.588902,127.08728,127.08728
상봉2동_019_1,84,6.0,12.0,37.597321,127.089798,127.089798
상암동_001_1,85,0.0,3.0,37.587524,126.883003,126.883003
수유3동_016_1,86,2.0,5.0,37.641739,127.024628,127.024628
미아동_004_1,87,3.0,8.0,37.627335,127.026054,127.026054
삼각산동_060_1,88,3.0,19.0,37.615036,127.020699,127.020699
미아동_007_1,89,4.0,5.0,37.63018,127.02491,127.02491
